Track,Artist,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre
Blowin' in the Wind,"Peter,Paul and Mary",1963,177360,4,0.381,0.0848,5,-17.77,1,0.032,0.834,0,0.112,0.557,155.036,52,Folk
"Puff,the Magic Dragon","Peter,Paul and Mary",1963,206866,4,0.507,0.088,9,-23.309,1,0.0343,0.51,0,0.0984,0.398,144.226,57,Folk
The Times They Are A-Changin' - Live Version; 2003 Remaster,"Peter,Paul and Mary",1963,192373,3,0.479,0.269,7,-13.801,1,0.0282,0.577,1.99E-05,0.617,0.581,147.112,32,Folk
This Land Is Your Land,"Peter,Paul and Mary",1963,146160,4,0.642,0.427,9,-8.327,1,0.0262,0.394,0,0.134,0.702,100.972,32,Folk
Where Have All the Flowers Gone - 2004 Remaster,"Peter,Paul and Mary",1963,236906,1,0.4,0.0887,10,-16.696,1,0.0328,0.911,2.58E-05,0.108,0.286,106.967,42,Folk
Leaving on a Jet Plane,"Peter,Paul and Mary",1969,207240,4,0.414,0.167,9,-16.519,1,0.0484,0.804,0,0.117,0.384,133.45,57,Folk
Ballad of William Worthy,Phil Ochs,1964,131039,4,0.685,0.22,2,-14.722,1,0.0639,0.561,0,0.167,0.873,124.144,21,Folk
Power and Glory,Phil Ochs,1964,136360,4,0.595,0.321,9,-12.828,0,0.115,0.741,0,0.587,0.662,138.107,27,Folk
Draft Dodger Rag,Phil Ochs,1965,131266,4,0.729,0.168,5,-13.265,1,0.145,0.85,0,0.0934,0.692,96.166,32,Folk
I Ain't Marching Anymore,Phil Ochs,1965,154893,4,0.498,0.492,6,-6.517,1,0.0458,0.633,0,0.0762,0.662,131.104,35,Folk
When I'm Gone,Phil Ochs,1965,253573,4,0.404,0.093,3,-19.036,1,0.0486,0.95,7.53E-05,0.717,0.244,80.224,39,Folk
Changes,Phil Ochs,1966,280800,4,0.357,0.0436,3,-22.425,1,0.0492,0.92,2.08E-05,0.694,0.243,64.046,29,Folk
"Love Me,I'm a Liberal",Phil Ochs,1966,276133,4,0.525,0.15,4,-17.785,1,0.0639,0.885,0,0.849,0.502,96.177,28,Folk
Outside Of A Small Circle Of Friends,Phil Ochs,1966,220933,4,0.639,0.524,6,-12.094,1,0.0526,0.701,0,0.0753,0.948,100.56,21,Folk
Eight Frames a Second,Ralph McTell,1969,204933,4,0.268,0.145,2,-17.5,1,0.0297,0.591,0.129,0.129,0.206,92.695,7,Folk
Michael in the Garden,Ralph McTell,1969,263866,4,0.475,0.27,4,-15.077,1,0.027,0.363,0,0.126,0.416,99.168,4,Folk
Streets of London,Ralph McTell,1969,248586,4,0.396,0.295,4,-15.126,1,0.0343,0.625,7.6E-05,0.0989,0.187,155.531,55,Folk
Summer Lightning,Ralph McTell,1971,154400,4,0.627,0.193,10,-17.733,0,0.0302,0.892,0.232,0.184,0.3,103.778,37,Folk
From Clare to here,Ralph McTell,1974,353413,3,0.495,0.198,9,-17.072,0,0.154,0.692,0,0.719,0.493,131.896,20,Folk
The Girl from the Hiring Fair,Ralph McTell,1974,289200,4,0.286,0.274,4,-14.366,0,0.0318,0.88,0.0366,0.105,0.333,153.061,15,Folk
How Long Blues - Live,Ramblin' Jack Elliott,1962,299506,4,0.588,0.0917,5,-21.25,0,0.0421,0.807,0.0203,0.724,0.157,79.01,0,Folk
Old Blue,Ramblin' Jack Elliott,1962,196066,3,0.527,0.203,1,-11.275,1,0.0347,0.812,3.52E-05,0.123,0.175,130.398,3,Folk
Hard Travelin',Ramblin' Jack Elliott,1963,152893,4,0.663,0.343,8,-15.86,1,0.0348,0.711,0,0.0837,0.877,124.206,10,Folk
San Francisco Bay Blues,Ramblin' Jack Elliott,1963,177440,4,0.523,0.371,0,-9.328,1,0.0338,0.957,4.51E-05,0.179,0.361,99.4,15,Folk
The Buffalo Skinners,Ramblin' Jack Elliott,1963,235266,4,0.535,0.119,11,-14.418,0,0.0522,0.941,0,0.126,0.281,75.571,2,Folk
"Don't Think Twice,It's All Right",Ramblin' Jack Elliott,1964,247333,4,0.473,0.159,3,-21.813,1,0.0553,0.793,2.82E-06,0.726,0.36,86.714,8,Folk
912 Greens,Ramblin' Jack Elliott,1965,443533,4,0.449,0.218,10,-15.033,1,0.0323,0.78,0.617,0.11,0.432,105.44,16,Folk
1952 Vincent Black Lightning,Richard Thompson,1991,283493,4,0.488,0.209,10,-19.549,1,0.0369,0.374,5.05E-06,0.103,0.362,120.63,47,Folk
Singapore Sadie,Richard Thompson,1991,234117,3,0.4,0.551,4,-8.669,0,0.03,0.459,0.0261,0.182,0.253,183.808,27,Folk
Tear-Stained Letter,Richard Thompson,1991,282266,4,0.41,0.812,2,-11.578,1,0.0396,0.116,0.00271,0.0755,0.783,183.039,16,Folk
The Day That I Give In,Richard Thompson,1991,194432,4,0.697,0.646,0,-7.798,1,0.0262,0.65,0.543,0.251,0.57,115.994,25,Folk
Freeze,Richard Thompson,1994,199725,3,0.411,0.872,7,-7.382,1,0.0618,0.194,0.105,0.301,0.823,95.728,27,Folk
Maybe,Richard Thompson,1994,243492,4,0.689,0.841,7,-6.009,1,0.0418,0.0173,0.00172,0.349,0.953,74.93,23,Folk
The Fear Never Leaves You,Richard Thompson,1994,285136,4,0.721,0.559,11,-9.006,0,0.0308,0.751,0.606,0.0979,0.625,120.029,26,Folk
Trust,Richard Thompson,1994,257647,4,0.673,0.745,4,-8.146,0,0.0483,0.489,0.168,0.341,0.573,98.975,24,Folk
Turnstile Casanova,Richard Thompson,1994,203718,4,0.549,0.906,0,-6.248,1,0.0305,0.093,0.00568,0.39,0.808,152.175,23,Folk
What’s Left To Lose,Richard Thompson,1999,249575,4,0.675,0.718,0,-7.769,1,0.0286,0.151,0.19,0.393,0.539,115.063,21,Folk
Fotheringay - Acoustic Version,Sandy Denny,1971,185853,4,0.489,0.0643,9,-30.576,0,0.0408,0.86,0.272,0.111,0.375,122.878,22,Folk
It'll Take A Long Time,Sandy Denny,1971,314800,4,0.504,0.387,6,-9.384,0,0.0259,0.517,0.6,0.203,0.378,127.882,33,Folk
The Lady,Sandy Denny,1971,240320,4,0.175,0.17,0,-12.049,1,0.0317,0.939,0.272,0.15,0.0594,89.047,11,Folk
The Sea Captain,Sandy Denny,1971,187586,3,0.68,0.211,9,-12.052,1,0.0308,0.873,0.00297,0.107,0.255,112.436,8,Folk
Bushes And Briars,Sandy Denny,1972,232480,4,0.713,0.399,2,-10.089,1,0.0285,0.839,0.00526,0.172,0.516,131.6,11,Folk
Solo,Sandy Denny,1973,266586,4,0.467,0.36,2,-7.752,1,0.0307,0.185,0.0748,0.121,0.441,64.81,11,Folk
Who Knows Where The Time Goes? - BBC Session - John Peel 11/9/73,Sandy Denny,1973,335626,3,0.399,0.0762,3,-13.789,1,0.0343,0.645,0.000162,0.142,0.146,133.064,33,Folk
Little Sir Hugh - 2009 Remaster,Steeleye Span,1971,284960,4,0.645,0.431,9,-9.802,1,0.0319,0.153,3.03E-05,0.114,0.595,131.9,14,Folk
Long Lankin - 2009 Remaster,Steeleye Span,1971,522599,4,0.445,0.289,2,-11.208,1,0.0305,0.162,9.69E-05,0.0815,0.241,116.646,14,Folk
The Blacksmith,Steeleye Span,1971,219453,4,0.53,0.486,11,-9.3,1,0.0292,0.403,0.00602,0.116,0.903,169.844,28,Folk
The Wife of Ushers Well - 2009 Remaster,Steeleye Span,1971,276186,4,0.64,0.535,7,-7.016,1,0.0385,0.503,0.00251,0.0544,0.569,125.402,13,Folk
Thomas the Rhymer,Steeleye Span,1971,192560,4,0.565,0.339,2,-15.824,1,0.0719,0.678,0.023,0.0785,0.578,133.383,14,Folk
Gaudete - 2009 Remaster,Steeleye Span,1973,147106,3,0.486,0.223,1,-15.365,0,0.0377,0.968,6.64E-05,0.887,0.425,69.291,31,Folk
King Henry - 2009 Remaster,Steeleye Span,1974,432040,4,0.51,0.448,2,-7.423,0,0.0288,0.654,0.000262,0.119,0.523,94.663,18,Folk
All Around My Hat - 2009 Remaster,Steeleye Span,1975,251746,4,0.466,0.691,2,-6.692,1,0.0582,0.666,0.00186,0.172,0.669,141.75,35,Folk
Hares on the Mountain - 2009 Remaster,Steeleye Span,1975,275200,3,0.61,0.452,5,-9.012,1,0.0283,0.138,0.00104,0.106,0.722,111.795,8,Folk
A Dying Cub Fan's Last Request,Steve Goodman,1971,362506,3,0.581,0.333,7,-13.336,1,0.0566,0.641,0,0.955,0.54,121.016,18,Folk
City of New Orleans,Steve Goodman,1971,230960,4,0.477,0.797,0,-5.316,1,0.0365,0.0828,0,0.185,0.705,88.823,36,Folk
Lincoln Park Pirates,Steve Goodman,1971,215866,3,0.593,0.566,9,-7.868,0,0.0315,0.58,0,0.366,0.63,95.92,14,Folk
You Never Even Call Me By My Name,Steve Goodman,1971,259906,4,0.665,0.703,0,-5.872,0,0.0298,0.173,0,0.316,0.519,118.216,24,Folk
The Dutchman,Steve Goodman,1977,259560,4,0.473,0.667,7,-9.325,1,0.0357,0.608,4.62E-06,0.221,0.599,83.82,24,Folk
Go Cubs Go (Studio Cut),Steve Goodman,1984,171293,4,0.695,0.601,0,-9.902,1,0.0375,0.252,0,0.502,0.903,99.75,34,Folk
You Better Get It While You Can (The Ballad of Carl Martin),Steve Goodman,1984,269866,4,0.719,0.297,9,-13.46,1,0.106,0.438,0,0.132,0.616,88.771,11,Folk
Tom's Diner,Suzanne Vega,1984,228306,4,0.86,0.439,6,-12.264,0,0.0495,0.0204,0.0147,0.0465,0.725,99.144,57,Folk
Left Of Center,Suzanne Vega,1985,215200,4,0.654,0.633,11,-12.796,0,0.0304,0.355,0,0.0765,0.737,142.919,36,Folk
Marlene On The Wall,Suzanne Vega,1985,219173,4,0.608,0.37,6,-15.055,0,0.034,0.597,0,0.0987,0.33,112.554,43,Folk
Small Blue Thing,Suzanne Vega,1985,234653,4,0.389,0.222,8,-16.984,1,0.0335,0.759,0.000297,0.114,0.219,130.772,33,Folk
Book Of Dreams,Suzanne Vega,1986,203306,4,0.706,0.58,4,-12.03,1,0.0284,0.459,0.00335,0.104,0.867,116.045,23,Folk
99.9 F,Suzanne Vega,1987,196266,4,0.838,0.468,11,-14.203,1,0.0806,0.0707,0.54,0.081,0.976,138.778,33,Folk
Gypsy,Suzanne Vega,1987,244066,4,0.439,0.214,9,-17.616,1,0.0327,0.635,1.04E-06,0.286,0.497,74.987,37,Folk
Luka,Suzanne Vega,1987,231933,4,0.63,0.697,6,-10.654,1,0.0311,0.189,0.000258,0.116,0.796,124.956,61,Folk
Blood Makes Noise,Suzanne Vega,1992,148106,4,0.599,0.751,11,-12.372,1,0.0352,0.000525,0.659,0.0827,0.905,87.861,37,Folk
Breaths,Sweet Honey In The Rock,1988,248640,3,0.396,0.0226,7,-27.232,1,0.0382,0.965,2.17E-06,0.701,0.259,110.466,22,Folk
Ella's Song,Sweet Honey In The Rock,1988,350200,4,0.476,0.114,1,-19.546,0,0.24,0.894,0,0.149,0.439,198.631,21,Folk
"Oh My Goodness,Look At This Mess!",Sweet Honey In The Rock,1988,199906,4,0.527,0.471,2,-9.728,1,0.271,0.901,0,0.497,0.892,79.257,40,Folk
We Are the Ones,Sweet Honey In The Rock,1988,171293,4,0.339,0.351,9,-9.532,1,0.0296,0.905,0,0.152,0.339,74.299,16,Folk
Talking Union,The Almanac Singers,1941,179133,4,0.681,0.509,8,-11.215,1,0.0846,0.975,1.06E-06,0.289,0.671,110.272,16,Folk
Which Side are You On?,The Almanac Singers,1941,131466,4,0.496,0.263,7,-12.325,0,0.0408,0.993,3.14E-05,0.0763,0.72,176.134,33,Folk
I'll Feel a Whole Lot Better,The Byrds,1965,151906,4,0.401,0.888,9,-7.344,1,0.0304,0.0485,0,0.334,0.956,135.09,2,Folk
Mr. Tambourine Man,The Byrds,1965,149466,4,0.456,0.47,2,-9.564,1,0.0294,0.513,3.76E-05,0.444,0.639,120.336,61,Folk
Turn! Turn! Turn! (To Everything There Is a Season),The Byrds,1965,229360,4,0.451,0.818,2,-8.124,1,0.0439,0.135,2.92E-05,0.052,0.755,124.532,62,Folk
Eight Miles High,The Byrds,1966,214640,4,0.365,0.77,9,-10.492,1,0.0764,0.21,0.136,0.503,0.37,130.603,49,Folk
My Back Pages,The Byrds,1966,188240,4,0.558,0.524,4,-10.528,1,0.0339,0.109,0,0.17,0.727,123.243,48,Folk
So You Want to Be a Rock 'N' Roll Star,The Byrds,1967,126160,4,0.37,0.683,2,-8.163,1,0.0387,0.0036,6.32E-06,0.451,0.728,154.044,36,Folk
Hickory Wind,The Byrds,1968,211173,3,0.444,0.409,7,-11.623,1,0.0283,0.275,0.0075,0.173,0.544,105.172,34,Folk
Ballad of Easy Rider,The Byrds,1969,124266,4,0.411,0.635,2,-11.645,1,0.0667,0.66,0.0519,0.273,0.755,97.123,41,Folk
Chestnut Mare,The Byrds,1970,307173,4,0.39,0.595,2,-9.582,1,0.0395,0.102,0,0.111,0.298,123.163,26,Folk
Away We Go Again,The Chieftains,1995,382626,4,0.446,0.345,7,-16.342,1,0.0805,0.662,0.0474,0.327,0.265,106.516,9,Folk
The Foggy Dew (with Sinéad O'Connor),The Chieftains,1995,320773,4,0.258,0.317,4,-12.626,0,0.038,0.497,0.000251,0.113,0.161,90.675,48,Folk
The Rocky Road to Dublin (with The Rolling Stones),The Chieftains,1995,304546,3,0.444,0.841,7,-8.674,1,0.0363,0.292,0.391,0.298,0.767,127.13,22,Folk
"Mo Ghile Mear (""Our Hero"") (with Sting)",The Chieftains,2002,199653,3,0.189,0.431,9,-10.469,1,0.0388,0.697,0,0.11,0.52,73.136,32,Folk
O'Sullivan's March,The Chieftains,2002,238133,4,0.439,0.405,11,-10.383,0,0.107,0.689,0.0898,0.106,0.338,85.851,18,Folk
"Beer,Beer,Beer",The Clancy Brothers,1960,120000,4,0.7,0.633,2,-11.718,1,0.325,0.77,0,0.0943,0.842,128.115,40,Folk
"Irish Rover (with Tommy Makem) - Live at Gate of Horn,Chicago,IL - 1961",The Clancy Brothers,1961,131306,4,0.743,0.381,7,-11.604,1,0.0697,0.685,0,0.622,0.534,131.403,8,Folk
The Irish Rover,The Clancy Brothers,1961,137626,4,0.757,0.494,10,-9.429,1,0.0639,0.247,0,0.256,0.82,132.886,20,Folk
The Leaving Of Liverpool,The Clancy Brothers,1961,235066,4,0.485,0.0844,0,-18.294,1,0.0318,0.313,1.78E-06,0.157,0.608,150.967,13,Folk
The Parting Glass (with Tommy Makem),The Clancy Brothers,1961,131493,5,0.264,0.0377,3,-27.202,1,0.0578,0.958,0.00111,0.869,0.351,167.098,32,Folk
The Rising of the Moon,The Clancy Brothers,1961,148773,4,0.631,0.0951,0,-14.698,1,0.0516,0.975,0.176,0.172,0.389,91.258,18,Folk
Tim Finnegan's Wake (with Tommy Makem),The Clancy Brothers,1961,189440,4,0.662,0.398,0,-17.986,1,0.565,0.907,0,0.721,0.506,122.114,26,Folk
"Wild Rover (Live at New York,1984)",The Clancy Brothers,1984,254200,4,0.421,0.612,5,-15.344,1,0.0602,0.806,0,0.84,0.37,78.92,9,Folk
A Pub with No Beer,The Dubliners,1961,147373,3,0.296,0.585,7,-10.941,1,0.0519,0.575,0.366,0.234,0.939,163.861,30,Folk
Black Velvet Band,The Dubliners,1967,269480,3,0.413,0.479,7,-10.829,1,0.035,0.781,0,0.364,0.888,167.813,47,Folk
Molly Malone,The Dubliners,1967,178560,3,0.49,0.324,0,-8.287,1,0.0273,0.841,0,0.123,0.381,110.958,44,Folk
Seven Drunken Nights,The Dubliners,1967,196506,5,0.565,0.485,9,-11.136,1,0.0539,0.562,2.04E-06,0.217,0.918,117.781,45,Folk
The Parting Glass,The Dubliners,1967,111666,4,0.683,0.242,9,-10.241,0,0.0828,0.85,0,0.309,0.644,83.197,25,Folk
The Rocky Road to Dublin - Live,The Dubliners,1967,154986,3,0.625,0.836,11,-6.416,0,0.383,0.867,0.00218,0.684,0.92,142.749,50,Folk
The Wild Rover,The Dubliners,1967,249093,3,0.295,0.678,7,-7.702,1,0.249,0.827,0,0.429,0.765,177.859,42,Folk
Whiskey in the Jar,The Dubliners,1967,178533,4,0.551,0.834,0,-5.238,1,0.0467,0.795,0.148,0.309,0.661,108.145,51,Folk
I'll Tell Me Ma,The Dubliners,1968,150133,4,0.516,0.585,9,-10.682,1,0.0395,0.61,1.25E-05,0.291,0.885,121.697,0,Folk
Blood On the Coal,The Folksmen,2003,187400,4,0.607,0.49,9,-10.211,0,0.0327,0.677,0,0.165,0.755,115.72,16,Folk
Never Did No Wanderin',The Folksmen,2003,184000,4,0.65,0.435,2,-11.144,1,0.0292,0.641,0,0.0988,0.78,133.726,18,Folk
Old Joe's Place,The Folksmen,2003,129693,4,0.629,0.617,0,-8.794,1,0.0515,0.605,0,0.147,0.807,109.05,20,Folk
The Fields Of Athenry,The High Kings,2008,246880,4,0.564,0.411,5,-6.241,1,0.0266,0.798,0,0.167,0.408,124.914,30,Folk
The Parting Glass,The High Kings,2008,253040,1,0.289,0.255,3,-10.153,1,0.0291,0.115,0,0.125,0.367,92.472,43,Folk
Against the Wind,The Highwaymen,1980,228160,4,0.72,0.424,4,-17.83,1,0.0357,0.51,2.58E-05,0.0712,0.582,110.811,54,Folk
Desperados Waiting for a Train,The Highwaymen,1985,276613,4,0.607,0.2,2,-18.367,1,0.0411,0.667,0,0.087,0.148,146.649,44,Folk
Highwayman,The Highwaymen,1985,182653,4,0.67,0.351,2,-16.842,1,0.0463,0.48,0.0176,0.115,0.45,101.384,68,Folk
"Jim,I Wore a Tie Today",The Highwaymen,1985,201480,4,0.678,0.223,0,-19.246,1,0.0352,0.74,0.000302,0.157,0.31,74.316,31,Folk
Silver Stallion,The Highwaymen,1985,192426,4,0.625,0.523,1,-14.647,0,0.0311,0.526,0.0564,0.252,0.723,148.03,57,Folk
The Last Cowboy Song,The Highwaymen,1985,190560,3,0.596,0.176,2,-20.332,1,0.0452,0.729,0,0.163,0.502,126.303,47,Folk
The Road Goes On Forever,The Highwaymen,1985,281400,4,0.714,0.633,2,-9.912,1,0.046,0.597,1.23E-05,0.0591,0.672,111.583,51,Folk
"Me and Bobby McGee - Live at Nassau Coliseum,Uniondale,NY - March 1990",The Highwaymen,1990,298600,4,0.533,0.9,7,-7.675,1,0.0503,0.351,0.000417,0.831,0.75,149.369,45,Folk
A Worried Man - Remastered,The Kingston Trio,1961,207333,4,0.616,0.298,2,-17.204,1,0.0427,0.788,8.85E-05,0.119,0.585,100.04,25,Folk
El Matador,The Kingston Trio,1961,147093,4,0.554,0.364,5,-9.397,0,0.0275,0.853,0.000321,0.24,0.445,81.978,18,Folk
Greenback Dollar,The Kingston Trio,1961,172200,4,0.7,0.322,7,-14.241,1,0.0774,0.864,0,0.123,0.847,143.505,37,Folk
M.T.A.,The Kingston Trio,1961,193386,4,0.713,0.548,9,-8.807,1,0.0455,0.261,0,0.197,0.901,144.623,34,Folk
Reverend Mr. Black,The Kingston Trio,1961,184200,4,0.573,0.309,5,-16.006,1,0.0502,0.907,0,0.356,0.651,93.044,24,Folk
Scotch And Soda,The Kingston Trio,1961,153293,4,0.543,0.0439,0,-19.752,1,0.041,0.8,0,0.119,0.34,102.493,32,Folk
Sloop John B,The Kingston Trio,1961,211893,4,0.572,0.0748,2,-19.811,1,0.0578,0.799,1.91E-05,0.118,0.557,142.721,30,Folk
The Tijuana Jail - 1990 Digital Remaster,The Kingston Trio,1961,170906,4,0.451,0.263,7,-13.567,1,0.0313,0.795,0,0.108,0.62,155.891,28,Folk
Tom Dooley,The Kingston Trio,1961,183973,4,0.649,0.144,4,-13.986,1,0.0418,0.806,4.55E-06,0.105,0.458,125.74,41,Folk
Where Have All The Flowers Gone? - Remastered,The Kingston Trio,1961,184293,4,0.605,0.125,10,-20.93,1,0.034,0.913,4.37E-06,0.205,0.623,130.907,42,Folk
There's A Meeting Here Tonight - Performed Live On The Ed Sullivan Show 12/18/60,The Limeliters,1960,113346,4,0.625,0.847,4,-10.025,1,0.469,0.909,0.00171,0.706,0.322,120.472,1,Folk
America the Beautiful / This Land Is Your Land,The Limeliters,1962,229426,4,0.303,0.259,5,-15.224,1,0.0431,0.56,0,0.7,0.568,180.271,4,Folk
Take My True Love by the Hand,The Limeliters,1962,180600,4,0.624,0.203,6,-11.017,1,0.0346,0.929,4.29E-06,0.0881,0.34,117.078,40,Folk
California Dreamin' - Single Version,The Mamas & The Papas,1965,162373,4,0.552,0.608,1,-9.786,0,0.0345,0.352,0,0.0533,0.637,112.367,80,Folk
I Call Your Name,The Mamas & The Papas,1966,158933,4,0.408,0.43,2,-11.287,1,0.0342,0.823,0,0.153,0.621,107.455,47,Folk
Look Through My Window,The Mamas & The Papas,1966,187480,4,0.363,0.434,10,-7.688,1,0.0273,0.608,0,0.334,0.372,105.264,32,Folk
"Monday,Monday - Single Version",The Mamas & The Papas,1966,208293,4,0.488,0.464,1,-9.496,1,0.0284,0.742,0,0.57,0.709,109.853,64,Folk
Words Of Love - Single Version,The Mamas & The Papas,1966,135893,4,0.444,0.704,10,-6.679,0,0.0453,0.6,0,0.235,0.595,115.942,40,Folk
Creeque Alley - Single Version,The Mamas & The Papas,1967,228680,4,0.615,0.754,4,-6.104,1,0.0379,0.721,0,0.077,0.786,145.299,49,Folk
Dedicated To The One I Love,The Mamas & The Papas,1967,178733,4,0.396,0.452,7,-8.809,1,0.0326,0.814,0,0.192,0.307,103.264,61,Folk
Dream A Little Dream Of Me,The Mamas & The Papas,1968,192840,4,0.548,0.234,7,-16.535,1,0.0424,0.892,1.01E-06,0.11,0.34,132.244,34,Folk
Everybody Loves Saturday Night,The New Christy Minstrels,1963,190400,4,0.524,0.822,4,-9.432,1,0.083,0.439,0,0.427,0.635,110.924,10,Folk
"Green,Green",The New Christy Minstrels,1963,127346,4,0.628,0.783,5,-10.317,1,0.0385,0.471,0,0.0922,0.897,140.475,28,Folk
"Ride,Ride,Ride",The New Christy Minstrels,1963,102080,4,0.61,0.681,2,-10.062,1,0.037,0.57,0,0.514,0.835,77.213,14,Folk
The Little Drummer Boy,The New Christy Minstrels,1963,180053,4,0.568,0.524,2,-11.394,1,0.0754,0.694,1.87E-05,0.138,0.138,144.499,0,Folk
This Land Is Your Land,The New Christy Minstrels,1963,135773,4,0.567,0.554,6,-10.118,1,0.0312,0.572,3.72E-06,0.185,0.847,115.411,12,Folk
Today,The New Christy Minstrels,1963,163800,3,0.415,0.242,0,-15.81,1,0.028,0.904,0,0.096,0.364,98.759,31,Folk
Bowling Green,The New Lost City Ramblers,1963,110520,4,0.487,0.317,11,-20.005,1,0.0354,0.694,0.000312,0.182,0.473,141.126,26,Folk
Charley He's a Good Ol' Man,The New Lost City Ramblers,1963,132973,4,0.624,0.318,7,-13.209,1,0.0384,0.973,0.000229,0.165,0.887,108.407,2,Folk
East Virginia Blues - Live,The New Lost City Ramblers,1963,167933,4,0.342,0.404,5,-12.43,1,0.0331,0.749,0.00239,0.621,0.776,196.234,0,Folk
Little Birdie - Live,The New Lost City Ramblers,1963,151506,4,0.587,0.576,9,-9.506,1,0.0323,0.859,7.17E-06,0.929,0.886,122.128,0,Folk
Old Joe Clark,The New Lost City Ramblers,1963,151866,4,0.543,0.353,4,-17.516,1,0.0388,0.867,0.92,0.158,0.936,128.929,0,Folk
Big Nuthin',The Roches,1979,280933,4,0.549,0.688,3,-6.182,1,0.029,0.728,0,0.154,0.57,87.082,15,Folk
Hammond Song,The Roches,1979,345200,4,0.397,0.195,3,-11.475,1,0.0286,0.719,0.00119,0.0958,0.128,143.728,41,Folk
Quitting Time,The Roches,1979,259200,4,0.297,0.168,11,-14.368,1,0.0309,0.485,0.000412,0.0998,0.431,136.7,20,Folk
The Train,The Roches,1979,210106,4,0.613,0.0782,4,-16.198,1,0.045,0.7,0,0.116,0.686,119.381,21,Folk
Tom Cat,The Rooftop Singers,1963,129000,4,0.675,0.559,8,-10.136,1,0.0434,0.759,0.00227,0.0721,0.924,142.763,13,Folk
Walk Right In,The Rooftop Singers,1963,157266,4,0.681,0.66,3,-10.426,1,0.0319,0.791,0.0364,0.0669,0.965,130.019,43,Folk
A World of Our Own,The Seekers,1965,163200,4,0.599,0.511,10,-10.072,1,0.0294,0.482,2.03E-05,0.306,0.779,88.229,39,Folk
A World of Our Own - Stereo; 2009 Remaster,The Seekers,1965,164653,4,0.437,0.583,10,-8.9,1,0.032,0.159,0,0.138,0.832,176.212,22,Folk
I'll Never Find Another You,The Seekers,1965,162320,4,0.567,0.672,10,-7.666,1,0.0336,0.75,0.0837,0.367,0.79,126.509,50,Folk
The Carnival Is Over,The Seekers,1965,192853,3,0.422,0.398,2,-10.291,1,0.0266,0.348,0,0.177,0.468,75.513,41,Folk
Colours of My Life - Mono; 1999 Remaster,The Seekers,1966,164600,4,0.366,0.388,0,-9.621,1,0.0288,0.681,0,0.107,0.472,116.1,25,Folk
Georgy Girl,The Seekers,1966,140440,4,0.515,0.496,4,-7.446,1,0.0324,0.265,0,0.182,0.651,153.582,52,Folk
Beans In My Ears,The Serendipity Singers,1964,131133,4,0.758,0.543,11,-10.046,1,0.042,0.662,0,0.202,0.86,128.401,14,Folk
Don't Let The Rain Come Down (Crooked Little Man),The Serendipity Singers,1964,166360,4,0.785,0.34,2,-15.593,1,0.192,0.752,0,0.107,0.652,129.007,27,Folk
Whale Of A Tale,The Serendipity Singers,1964,140973,4,0.514,0.454,5,-13.8,1,0.0875,0.801,4.71E-06,0.0783,0.952,201.978,10,Folk
Blowin' in the Wind,The Village Stompers,1963,119240,4,0.541,0.528,9,-10.148,1,0.048,0.809,0.369,0.644,0.949,174.069,2,Folk
Yesterday,The Village Stompers,1963,142240,4,0.479,0.39,7,-8.178,0,0.0288,0.877,0.846,0.158,0.443,90.579,4,Folk
"So Long,It's Been Good To Know Yuh",The Weavers,1940,143493,4,0.583,0.369,11,-13.989,1,0.163,0.784,0,0.991,0.857,113.367,3,Folk
Goodnight Irene,The Weavers,1950,201546,3,0.343,0.248,5,-10.713,1,0.0282,0.831,0,0.198,0.548,140.326,14,Folk
Rock Island Line,The Weavers,1950,141992,4,0.569,0.529,7,-11.907,1,0.226,0.966,7.39E-05,0.699,0.75,161.441,4,Folk
"Tzena,Tzena,Tzena",The Weavers,1950,165906,4,0.605,0.657,10,-8.13,1,0.0835,0.686,3.57E-06,0.344,0.917,151.679,3,Folk
Kisses Sweeter Than Wine,The Weavers,1951,193800,4,0.474,0.194,7,-18.412,1,0.06,0.736,3.04E-06,0.815,0.344,143.483,11,Folk
On Top Of Old Smoky,The Weavers,1951,163266,3,0.421,0.464,11,-9.033,1,0.0367,0.869,0,0.225,0.657,167.947,11,Folk
Wimoweh,The Weavers,1951,109893,4,0.458,0.36,6,-16.388,1,0.0425,0.734,0.000908,0.99,0.758,115.863,17,Folk
Darling Corey,The Weavers,1955,119638,4,0.518,0.583,1,-13.031,1,0.0473,0.913,0.000738,0.709,0.596,78.184,3,Folk
"Wreck Of The ""John B""",The Weavers,1956,140866,4,0.527,0.266,4,-20.197,1,0.165,0.752,0,0.679,0.654,140.23,9,Folk
Buzzin' Fly,Tim Buckley,1969,364160,4,0.456,0.323,5,-13.053,1,0.0337,0.711,0.032,0.204,0.418,120.937,39,Folk
Song to the Siren - 2006 Remaster,Tim Buckley,1969,206120,4,0.27,0.17,10,-14.815,1,0.0382,0.944,0.000284,0.109,0.121,85.735,7,Folk
Song to the Siren - Take 7,Tim Buckley,1969,208400,4,0.577,0.0513,4,-21.308,1,0.0331,0.845,0.000139,0.106,0.068,67.657,48,Folk
The River,Tim Buckley,1969,349400,4,0.351,0.165,5,-19.816,1,0.0327,0.886,0.168,0.091,0.237,146.998,15,Folk
